station_id,station_name,latitude,longitude,timestamp,wind direction
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T15:45:00+08:00,282
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T15:45:00+08:00,47
S06,Paya Lebar,1.3524,103.9007,2025-10-17T15:45:00+08:00,182
S111,Scotts Road,1.31055,103.8365,2025-10-17T15:45:00+08:00,78
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T15:45:00+08:00,164
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T16:00:00+08:00,165
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T16:00:00+08:00,161
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T16:00:00+08:00,179
S117,Banyan Road,1.256,103.679,2025-10-17T16:00:00+08:00,224
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T16:00:00+08:00,193
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T16:00:00+08:00,149
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T16:00:00+08:00,220
S60,Sentosa,1.25,103.8279,2025-10-17T16:00:00+08:00,172
S50,Clementi Road,1.3337,103.7768,2025-10-17T16:00:00+08:00,197
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T16:00:00+08:00,260
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T16:00:00+08:00,182
S06,Paya Lebar,1.3524,103.9007,2025-10-17T16:00:00+08:00,141
S111,Scotts Road,1.31055,103.8365,2025-10-17T16:00:00+08:00,74
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T16:00:00+08:00,161
